Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
400 W Martin Luther King Blvd,Chattanooga,TN,37402,4/9/2024 6:45,TN0330100,A6,Adam S,23F,Theft From Motor Vehicle,Part 1 Crimes,24-031496,4,Inactive/Suspended,35.047479,,-85.318222,POINT (-85.318222 35.047479),7
4200 Bonny Oaks Dr,Chattanooga,TN,37406,4/9/2024 6:50,TN0330100,C5,Charlie N,91Z,Miscellaneous Information,,24-031500,3,Pending/Possible Leads,35.080886,,-85.215102,POINT (-85.215102 35.080886),5
3400 Rossville Blvd,Chattanooga,TN,37407,4/9/2024 7:00,TN0330100,B7,Baker S,23F,Theft From Motor Vehicle,Part 1 Crimes,24-031504,4,Inactive/Suspended,35.004156,East Lake,-85.291744,POINT (-85.291744 35.004156),7
800 Wheeler Ave,Chattanooga,TN,37406,4/9/2024 7:00,TN0330100,B3,Baker N,91Z,Shots Fired with Nothing Located,,24-031499,3,Pending/Possible Leads,35.044604,Avondale,-85.262628,POINT (-85.262628 35.044604),8
700 Dodson Ave,Chattanooga,TN,37404,4/9/2024 7:00,TN0330100,B4,Baker N,91Z,Missing Person,,24-031688,3,Pending/Possible Leads,35.043562,Churchville,-85.264879,POINT (-85.264879 35.043562),8
1400 Market St,Chattanooga,TN,37408,4/9/2024 7:24,TN0330100,A9,Adam S,90C,Disorderly Conduct,Part 2 Crimes,24-031502,2,Cleared by Arrest,35.037237999999995,,-85.306611,POINT (-85.306611 35.037238),8
1800 Clear Brook Ct,Chattanooga,TN,37421,4/9/2024 7:40,TN0330100,C8,Charlie N,13B,Simple Assault,Part 1 Crimes,24-031510,3,Pending/Possible Leads,35.016422000000006,,-85.133329,POINT (-85.133329 35.016422),4
800 Barton Ave,Chattanooga,TN,37405,4/9/2024 7:45,TN0330100,A4,Adam N,91Z,Damaged Property Accidental,,24-031514,3,Pending/Possible Leads,35.065478,,-85.29141,POINT (-85.29141 35.065478),2
300 Frazier Ave,Chattanooga,TN,37405,4/9/2024 8:00,TN0330100,A4,Adam N,91Z,Field Interview,,24-031523,3,Pending/Possible Leads,35.062461000000006,,-85.30577,POINT (-85.30577 35.062461),2
1400 Grove St,Chattanooga,TN,37402,4/9/2024 8:19,TN0330100,A6,Adam S,91Z,Miscellaneous Information,,24-031522,3,Pending/Possible Leads,35.041311,,-85.318963,POINT (-85.318963 35.041311),7
8100 E Brainerd Rd,Chattanooga,TN,37421,4/9/2024 8:47,TN0330100,C8,Charlie N,91Z,Mental Health Call,,24-031528,3,Pending/Possible Leads,35.003934,,-85.14719,POINT (-85.14719 35.003934),4
900 Georgia Ave,Chattanooga,TN,37402,4/9/2024 9:00,TN0330100,A9,Adam S,91Z,Miscellaneous Information,,24-031534,3,Pending/Possible Leads,35.045719999999996,,-85.309073,POINT (-85.309073 35.04572),7
600 Spears Ave,Chattanooga,TN,37405,4/9/2024 9:00,TN0330100,A4,Adam N,91Z,Miscellaneous Information,,24-031536,3,Pending/Possible Leads,35.068995,Northside/Cherokee,-85.310369,POINT (-85.310369 35.068995),1
1600 E 23rd St,Chattanooga,TN,37404,4/9/2024 9:16,TN0330100,B6,Baker S,91Z,Miscellaneous Information,,24-031537,3,Pending/Possible Leads,35.02145,,-85.288353,POINT (-85.288353 35.02145),8
4000 N Hawthorne St,Chattanooga,TN,37406,4/9/2024 9:20,TN0330100,B1,Baker N,91Z,Damaged Property Accidental,,24-031538,3,Pending/Possible Leads,35.086736,,-85.246234,POINT (-85.246234 35.086736),8
900 Riverside Dr,Chattanooga,TN,37403,4/9/2024 9:54,TN0330100,B2,Baker N,91Z,Miscellaneous Information,,24-031545,3,Pending/Possible Leads,35.052980000000005,,-85.282598,POINT (-85.282598 35.05298),8
2500 Baskette Way,Chattanooga,TN,37421,4/9/2024 10:00,TN0330100,C9,Charlie N,91Z,Damaged Property Accidental,,24-031555,3,Pending/Possible Leads,35.036964,Ashwood,-85.137747,POINT (-85.137747 35.036964),4
900 Talley Rd,Chattanooga,TN,37411,4/9/2024 10:00,TN0330100,C2,Charlie S,91Z,Miscellaneous Information,,24-031569,3,Pending/Possible Leads,35.034111,Woodmore,-85.229155,POINT (-85.229155 35.034111),5
3100 Navajo Dr,Chattanooga,TN,37411,4/9/2024 10:20,TN0330100,C2,Charlie S,91Z,Damaged Property Accidental,,24-031554,3,Pending/Possible Leads,35.022433,,-85.257905,POINT (-85.257905 35.022433),9
2100 Hamilton Place Blvd,Chattanooga,TN,37421,4/9/2024 10:20,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,24-031587,3,Pending/Possible Leads,35.033712,,-85.15789,POINT (-85.15789 35.033712),4
5400 Highway 153,Chattanooga,TN,37343,4/9/2024 10:30,TN0330100,A1,Adam N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,24-031559,3,Pending/Possible Leads,35.138778,,-85.247743,POINT (-85.247743 35.138778),3
3900 Arbor Place Ln,Chattanooga,TN,37416,4/9/2024 10:35,TN0330100,C5,Charlie N,91Z,Suspicious Activity,,24-031540,3,Pending/Possible Leads,35.093812,,-85.187322,POINT (-85.187322 35.093812),3
6100 Hickory Valley Rd,Chattanooga,TN,37416,4/9/2024 10:40,TN0330100,C6,Charlie N,240,Motor Vehicle Theft,Part 1 Crimes,24-031626,4,Inactive/Suspended,35.081971,,-85.161077,POINT (-85.161077 35.081971),6
4100 Bonny Oaks Dr,Chattanooga,TN,37406,4/9/2024 10:54,TN0330100,B1,Baker N,91Z,Miscellaneous Information,,24-031851,3,Pending/Possible Leads,35.080052,,-85.223657,POINT (-85.223657 35.080052),5
3400 Campbell St,Chattanooga,TN,37406,4/9/2024 10:58,TN0330100,B1,Baker N,91Z,Miscellaneous Information,,24-031568,3,Pending/Possible Leads,35.072409,,-85.241942,POINT (-85.241942 35.072409),9
7700 Lee Hwy,Chattanooga,TN,37421,4/9/2024 11:11,TN0330100,C9,Charlie N,91Z,Field Interview,,24-031571,3,Pending/Possible Leads,35.061088,,-85.134542,POINT (-85.134542 35.061088),6
500 N Holtzclaw Ave,Chattanooga,TN,37404,4/9/2024 11:12,TN0330100,B4,Baker N,91Z,Miscellaneous Information,,24-031570,3,Pending/Possible Leads,35.045403,,-85.279047,POINT (-85.279047 35.045403),8
1300 Alethea Dr,Chattanooga,TN,37343,4/9/2024 11:14,TN0330100,A3,Adam N,91Z,Damaged Property Accidental,,24-031556,3,Pending/Possible Leads,35.135459999999995,,-85.25604,POINT (-85.25604 35.13546),2
1800 Tunnel Blvd,Chattanooga,TN,37406,4/9/2024 11:16,TN0330100,C1,Charlie S,91Z,Damaged Property Accidental,,24-031573,3,Pending/Possible Leads,35.048685,North Brainerd,-85.235372,POINT (-85.235372 35.048685),5
1900 Gunbarrel Rd,Chattanooga,TN,37421,4/9/2024 11:21,TN0330100,C7,Charlie N,23C,Shoplifting,Part 1 Crimes,24-031577,3,Pending/Possible Leads,35.028108,,-85.158062,POINT (-85.158062 35.028108),4
